2.00000000e+00,4.12379809e-07,6.81200000e+00,7.13910000e+01,1.02340000e+01,6.85000000e+00,4.71300000e+00,1.00000000e-01
2.10000000e+00,4.63328402e-07,9.41600000e+00,6.59950000e+01,1.23630000e+01,6.98500000e+00,5.24100000e+00,1.00000000e-01
2.20000000e+00,4.98772324e-07,1.19390000e+01,6.11800000e+01,1.47510000e+01,6.32100000e+00,5.80900000e+00,1.00000000e-01
2.30000000e+00,5.51164624e-07,1.47780000e+01,5.58780000e+01,1.68720000e+01,6.41500000e+00,6.05700000e+00,1.00000000e-01
2.40000000e+00,5.84111137e-07,1.76430000e+01,5.06380000e+01,1.94900000e+01,5.43300000e+00,6.79600000e+00,1.00000000e-01
2.50000000e+00,6.20165313e-07,2.05950000e+01,4.56190000e+01,2.15610000e+01,4.97600000e+00,7.24900000e+00,1.00000000e-01
2.60000000e+00,6.39420212e-07,2.30700000e+01,4.03450000e+01,2.32830000e+01,5.62900000e+00,7.67300000e+00,1.00000000e-01
2.70000000e+00,6.42079605e-07,2.32740000e+01,3.58730000e+01,2.26850000e+01,9.89700000e+00,8.27100000e+00,1.00000000e-01
2.80000000e+00,6.39655729e-07,2.39410000e+01,3.14440000e+01,2.28120000e+01,1.25920000e+01,9.21100000e+00,1.00000000e-01
2.90000000e+00,6.20179352e-07,2.40570000e+01,2.72580000e+01,2.21200000e+01,1.55620000e+01,1.10030000e+01,1.00000000e-01
3.00000000e+00,6.06749241e-07,2.49830000e+01,2.32520000e+01,2.25920000e+01,1.69900000e+01,1.21830000e+01,1.00000000e-01
3.10000000e+00,6.07247550e-07,2.85870000e+01,1.98650000e+01,2.34630000e+01,1.52040000e+01,1.28810000e+01,1.00000000e-01
3.20000000e+00,6.19049540e-07,3.10920000e+01,1.67710000e+01,2.41970000e+01,1.44170000e+01,1.35230000e+01,1.00000000e-01
3.30000000e+00,6.29773971e-07,3.32680000e+01,1.40770000e+01,2.43930000e+01,1.40000000e+01,1.42620000e+01,1.00000000e-01
3.40000000e+00,6.37533740e-07,3.36770000e+01,1.16930000e+01,2.32980000e+01,1.66150000e+01,1.47170000e+01,1.00000000e-01
3.50000000e+00,6.40068627e-07,3.44050000e+01,9.72300000e+00,2.23340000e+01,1.77740000e+01,1.57640000e+01,1.00000000e-01
3.60000000e+00,6.58971313e-07,3.61200000e+01,7.80000000e+00,2.30090000e+01,1.59000000e+01,1.71710000e+01,1.00000000e-01
3.70000000e+00,6.51251946e-07,3.72670000e+01,6.35600000e+00,2.18680000e+01,1.67440000e+01,1.77650000e+01,1.00000000e-01
3.80000000e+00,6.76134847e-07,3.80370000e+01,4.97800000e+00,2.15490000e+01,1.66120000e+01,1.88240000e+01,1.00000000e-01
3.90000000e+00,6.71716831e-07,3.99660000e+01,4.05900000e+00,2.09130000e+01,1.56670000e+01,1.93950000e+01,1.00000000e-01
4.00000000e+00,6.72585408e-07,3.95520000e+01,3.20200000e+00,1.92200000e+01,1.79580000e+01,2.00680000e+01,1.00000000e-01
4.10000000e+00,6.74991057e-07,4.10760000e+01,2.43000000e+00,1.93650000e+01,1.57440000e+01,2.13850000e+01,1.00000000e-01
4.20000000e+00,6.83882369e-07,4.21440000e+01,1.91900000e+00,1.91350000e+01,1.46280000e+01,2.21740000e+01,1.00000000e-01
4.30000000e+00,6.79353781e-07,4.32510000e+01,1.46500000e+00,1.79000000e+01,1.51510000e+01,2.22330000e+01,1.00000000e-01
4.40000000e+00,6.95948122e-07,4.44870000e+01,1.11300000e+00,1.78970000e+01,1.37150000e+01,2.27880000e+01,1.00000000e-01
4.50000000e+00,7.18487750e-07,4.48080000e+01,8.15000000e-01,1.71220000e+01,1.36390000e+01,2.36160000e+01,1.00000000e-01
4.60000000e+00,7.23685611e-07,4.48170000e+01,6.29000000e-01,1.56820000e+01,1.49510000e+01,2.39210000e+01,1.00000000e-01
4.70000000e+00,7.14553442e-07,4.53190000e+01,4.65000000e-01,1.49330000e+01,1.47040000e+01,2.45790000e+01,1.00000000e-01
4.80000000e+00,7.21036075e-07,4.62900000e+01,3.30000000e-01,1.46340000e+01,1.35090000e+01,2.52370000e+01,1.00000000e-01
4.90000000e+00,7.44592304e-07,4.64750000e+01,2.41000000e-01,1.43190000e+01,1.29120000e+01,2.60530000e+01,1.00000000e-01
5.00000000e+00,7.54956760e-07,4.73990000e+01,1.63000000e-01,1.30880000e+01,1.30420000e+01,2.63080000e+01,1.00000000e-01
5.10000000e+00,7.69225468e-07,4.76470000e+01,1.27000000e-01,1.27150000e+01,1.32100000e+01,2.63010000e+01,1.00000000e-01
5.20000000e+00,7.91507915e-07,4.79580000e+01,9.60000000e-02,1.24390000e+01,1.24690000e+01,2.70380000e+01,1.00000000e-01
5.30000000e+00,8.05768906e-07,4.90390000e+01,5.80000000e-02,1.16570000e+01,1.28000000e+01,2.64460000e+01,1.00000000e-01
5.40000000e+00,7.87829522e-07,4.80080000e+01,4.90000000e-02,1.11790000e+01,1.25420000e+01,2.82220000e+01,1.00000000e-01
5.50000000e+00,8.04736512e-07,4.82450000e+01,2.70000000e-02,1.10470000e+01,1.17570000e+01,2.89240000e+01,1.00000000e-01
5.60000000e+00,8.24768045e-07,4.98060000e+01,2.10000000e-02,1.13730000e+01,1.02640000e+01,2.85360000e+01,1.00000000e-01
5.70000000e+00,8.12345427e-07,5.01750000e+01,1.50000000e-02,1.03730000e+01,1.08070000e+01,2.86300000e+01,1.00000000e-01
